Date,Name,Year,Letterboxd URI,Rating
2020-04-22,Game Night,2018,https://boxd.it/fRtu,3.5
2020-04-22,Fury,2014,https://boxd.it/6JwC,3.5
2020-04-22,I Am Sam,2001,https://boxd.it/1V04,3.5
2020-04-22,Insomnia,2002,https://boxd.it/2aB0,4
2020-04-22,The Interview,2014,https://boxd.it/6KQ4,3
2020-04-22,Furious 7,2015,https://boxd.it/5cVs,3.5
2020-04-22,Shaolin Soccer,2001,https://boxd.it/1T86,4
2020-04-22,Lucy,2014,https://boxd.it/75hu,3
2020-04-22,Ghost Ship,2002,https://boxd.it/1Y9y,2.5
2020-04-22,The Butterfly Effect,2004,https://boxd.it/27M0,3.5
2020-04-22,The Chaos Class Is Fretting Over,1979,https://boxd.it/2WhM,2.5
2020-04-22,Thou Gild'st the Even,2013,https://boxd.it/5POK,4.5
2020-04-22,Irreversible,2002,https://boxd.it/29as,3.5
2020-04-22,Insurgent,2015,https://boxd.it/7NNa,3
2020-04-22,Zootopia,2016,https://boxd.it/84xS,4
2020-04-22,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,3.5
2020-04-22,The Purge: Anarchy,2014,https://boxd.it/71zk,3
2020-04-22,The Theory of Everything,2014,https://boxd.it/7YtA,3.5
2020-04-22,The Ring,2002,https://boxd.it/2a70,3.5
2020-04-22,Tangerines,2013,https://boxd.it/71vM,4
2020-04-22,Pete's Christmas,2013,https://boxd.it/70c0,3
2020-04-22,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4
